Asset name,Asset URL,Deprecated,Purchased Date,Last updated,Version
"Support package for Hovl Studio assets","https://assetstore.unity.com/packages/slug/157764","","2020-11-04","2025-02-07","3.17"
"3D Fire and Explosions","https://assetstore.unity.com/packages/slug/176981","","2020-11-04","2026-03-11","2.1"
"Stylized Melee Pack 1","https://assetstore.unity.com/packages/slug/80637","","2020-11-04","2021-01-25","1.63"
"Magic Circles and Shields Vol.4","https://assetstore.unity.com/packages/slug/168813","","2020-11-04","2026-02-18","2.0"
"Ultimate Sound FX Bundle","https://assetstore.unity.com/packages/slug/151756","","2020-11-04","2023-01-13","2.1"
"Fantastic Cartoon VFX","https://assetstore.unity.com/packages/slug/100604","","2020-11-04","2024-04-09","5.0.2"
"Magic Arsenal","https://assetstore.unity.com/packages/slug/20869","","2020-11-04","2024-12-06","2.75"
"AAA Projectiles Vol.2","https://assetstore.unity.com/packages/slug/144288","","2020-11-04","2026-06-20","2.2"
"Lux URP Essentials","https://assetstore.unity.com/packages/slug/150355","","2020-10-29","2026-03-21","2.06"
"Frank RPG Fighter","https://assetstore.unity.com/packages/slug/137306","","2020-10-20","2025-12-21","1.1"
"Warrior with an axe - 2","https://assetstore.unity.com/packages/slug/177879","","2020-10-20","2020-09-01","1.0"
"PBR Fighters (Pack)","https://assetstore.unity.com/packages/slug/145995","","2020-10-20","2019-05-16","1.1"
"Vikings pack","https://assetstore.unity.com/packages/slug/158829","","2020-10-20","2020-01-07","1.0"
"PP801 Character P3","https://assetstore.unity.com/packages/slug/152862","","2020-10-20","2020-09-21","2.0"
"BerserkerS2: Mage and Archer","https://assetstore.unity.com/packages/slug/146501","","2020-10-20","2020-09-30","2.0"
"Frank Dual Sword","https://assetstore.unity.com/packages/slug/137161","","2020-10-20","2025-12-07","1.2"
"Frank RPG Mage","https://assetstore.unity.com/packages/slug/138889","","2020-10-20","2025-12-21","1.1"
"Frank Assassin","https://assetstore.unity.com/packages/slug/140587","","2020-10-20","2019-03-20","1.1"
"Frank RPG Archer","https://assetstore.unity.com/packages/slug/138858","","2020-10-20","2025-12-21","1.1"
"Frank Warrior (+UE FBX)","https://assetstore.unity.com/packages/slug/137235","","2020-10-20","2023-12-18","1.4.2"
"Futuristic Soldier Pack","https://assetstore.unity.com/packages/slug/92705","","2020-10-20","2017-07-27","1.0"
"Orc Tarkoman","https://assetstore.unity.com/packages/slug/157680","","2020-10-20","2020-02-14","1.0"
"Robot Soldier Low-poly 3D model","https://assetstore.unity.com/packages/slug/155607","","2020-10-20","2019-11-08","1.0"
"Wizard Melius","https://assetstore.unity.com/packages/slug/177488","","2020-10-20","2020-08-25","1.0"
"Epic Toon FX","https://assetstore.unity.com/packages/slug/57772","","2020-10-15","2024-07-22","1.82"
"Spells Pack","https://assetstore.unity.com/packages/slug/141539","","2020-10-15","2026-05-24","1.3.14"
"Realistic Effects Pack 3","https://assetstore.unity.com/packages/slug/27523","","2020-10-15","2018-03-05","1.2.1"
"RPG VFX Bundle","https://assetstore.unity.com/packages/slug/133704","","2020-10-15","2026-06-20","6.0.3"
